date,price,return1,ex_post_return1,vix1,skew_close,log_return,vix1_log,skew_close_log
03/01/1995,459.11,1.00E-04,0.003485004,14.25,116.760002,0.2,2.656756907,4.760120563
04/01/1995,460.71,0.003485004,-0.000803108,13.53,118.040001,0.34789,2.604909442,4.771023559
05/01/1995,460.34,-0.000803108,0.000738585,13.5,116.940002,-0.08034,2.602689685,4.761661
06/01/1995,460.68,0.000738585,0.000325606,13.13,117.379997,0.07383,2.574899688,4.76541651
09/01/1995,460.83,0.000325606,0.001844498,13.33,115.93,0.03256,2.590017134,4.752986561
10/01/1995,461.68,0.001844498,-4.33E-05,12.52,118.669998,0.18428,2.527327366,4.776346515
11/01/1995,461.66,-4.33E-05,-4.33E-05,12.15,116.07,-0.00433,2.49732917,4.754193457
12/01/1995,461.64,-4.33E-05,0.009379603,12.83,115.120003,-0.00433,2.551786179,4.745975089
13/01/1995,465.97,0.009379603,0.007318068,11.1,115.5,0.93359,2.406945108,4.74927053
16/01/1995,469.38,0.007318068,0.001427415,11.14,117.660004,0.72914,2.410542234,4.767799143
17/01/1995,470.05,0.001427415,-0.000702053,11.79,117.519997,0.14264,2.467251715,4.766608506
18/01/1995,469.72,-0.000702053,-0.00589713,11.57,118.650002,-0.07023,2.448415541,4.776178
19/01/1995,466.95,-0.00589713,-0.004647178,11.86,116.760002,-0.59146,2.473171394,4.760120563
20/01/1995,464.78,-0.004647178,0.002216102,12.15,116.550003,-0.4658,2.49732917,4.758320391
23/01/1995,465.81,0.002216102,0.00010734,12.79,118.830002,0.22137,2.548663616,4.777693917
24/01/1995,465.86,0.00010734,0.003391577,11.94,117.5,0.01073,2.479894108,4.766438334
25/01/1995,467.44,0.003391577,0.001882595,11.46,117.610001,0.33858,2.438862711,4.767374074
26/01/1995,468.32,0.001882595,0.004420055,11.25,116.559998,0.18808,2.420368129,4.758406145
27/01/1995,470.39,0.004420055,-0.003996684,11.25,114.230003,0.44103,2.420368129,4.738213986
30/01/1995,468.51,-0.003996684,0.004076754,12.26,115.889999,-0.40047,2.506341931,4.752641457
31/01/1995,470.42,0.004076754,-4.25E-05,11.96,115.43,0.40685,2.481567749,4.748664286
01/02/1995,470.4,-4.25E-05,0.005059524,11.73,115.720001,-0.00425,2.462149663,4.751173489
02/02/1995,472.78,0.005059524,0.012394771,11.13,115.940002,0.50468,2.409644165,4.753072833
03/02/1995,478.64,0.012394771,0.005223132,10.98,115.190002,1.23186,2.396075436,4.746582956
